,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}"
2022-12-29 15:41:04,6550503424.0,4746960896.0,876433408.0,927121408.0
2022-12-29 15:41:05,6534148096.0,4750438400.0,874778624.0,909451264.0
2022-12-29 15:41:06,6541299712.0,4753330176.0,877334528.0,910196736.0
2022-12-29 15:41:07,6543351808.0,4755648512.0,877883392.0,909819904.0
2022-12-29 15:41:08,6553432064.0,4766302208.0,877801472.0,908910592.0
2022-12-29 15:41:09,6560481280.0,4766691328.0,878493696.0,910229504.0
2022-12-29 15:41:10,6571347968.0,4754071552.0,898551808.0,912883712.0
2022-12-29 15:41:11,6558285824.0,4741332992.0,897216512.0,917307392.0
2022-12-29 15:41:12,6540464128.0,4743372800.0,878170112.0,918376448.0
2022-12-29 15:41:13,6542176256.0,4745293824.0,878858240.0,918364160.0
2022-12-29 15:41:14,6543179776.0,4743344128.0,881242112.0,918192128.0
2022-12-29 15:41:15,6546341888.0,4745842688.0,880984064.0,919646208.0
2022-12-29 15:41:16,6528434176.0,4744589312.0,869199872.0,917663744.0
2022-12-29 15:41:17,6519508992.0,4743647232.0,873385984.0,905371648.0
2022-12-29 15:41:18,6507814912.0,4737314816.0,867053568.0,899584000.0
2022-12-29 15:41:19,6500311040.0,4738568192.0,861396992.0,898957312.0
2022-12-29 15:41:20,6511886336.0,4738052096.0,871694336.0,902295552.0
2022-12-29 15:41:21,6495481856.0,4731445248.0,862470144.0,900812800.0
2022-12-29 15:41:22,6487113728.0,4738670592.0,862662656.0,885522432.0
2022-12-29 15:41:23,6477561856.0,4739657728.0,853561344.0,884645888.0
2022-12-29 15:41:24,6475198464.0,4741640192.0,850124800.0,883818496.0
2022-12-29 15:41:25,6478098432.0,4740468736.0,851197952.0,889241600.0
2022-12-29 15:41:26,6478032896.0,4740325376.0,850395136.0,887738368.0
2022-12-29 15:41:27,6479855616.0,4740976640.0,850587648.0,888246272.0
2022-12-29 15:41:28,6478274560.0,4738248704.0,852287488.0,887455744.0
2022-12-29 15:41:29,6481752064.0,4739850240.0,853004288.0,887234560.0
2022-12-29 15:41:30,6487457792.0,4741132288.0,862588928.0,883290112.0
2022-12-29 15:41:31,6477778944.0,4740952064.0,851922944.0,883712000.0
2022-12-29 15:41:32,6479937536.0,4741738496.0,852180992.0,888614912.0
2022-12-29 15:41:33,6478630912.0,4737802240.0,854941696.0,886493184.0
2022-12-29 15:41:34,6474215424.0,4734783488.0,855040000.0,883748864.0
2022-12-29 15:41:35,6472261632.0,4737097728.0,853348352.0,883105792.0
2022-12-29 15:41:36,6475784192.0,4742316032.0,851202048.0,883224576.0
2022-12-29 15:41:37,6477373440.0,4740968448.0,851136512.0,885927936.0
2022-12-29 15:41:38,6476328960.0,4738920448.0,850194432.0,886513664.0
2022-12-29 15:41:39,6483742720.0,4742553600.0,850358272.0,886685696.0
2022-12-29 15:41:40,6477357056.0,4740431872.0,852336640.0,883875840.0
2022-12-29 15:41:41,6477553664.0,4742606848.0,850362368.0,883777536.0
2022-12-29 15:41:42,6478368768.0,4742479872.0,850386944.0,885301248.0
2022-12-29 15:41:43,6471077888.0,4738035712.0,849608704.0,882544640.0
2022-12-29 15:41:44,6475743232.0,4742619136.0,850092032.0,882683904.0
2022-12-29 15:41:45,6476025856.0,4740812800.0,851189760.0,883892224.0
2022-12-29 15:41:46,6475829248.0,4740763648.0,851091456.0,883601408.0
2022-12-29 15:41:47,6476283904.0,4740997120.0,851349504.0,884678656.0
2022-12-29 15:41:48,6477246464.0,4741992448.0,850198528.0,885071872.0
2022-12-29 15:41:49,6481936384.0,4743716864.0,850857984.0,885395456.0
2022-12-29 15:41:50,6474657792.0,4739801088.0,848052224.0,887975936.0
2022-12-29 15:41:51,6502084608.0,4742504448.0,850182144.0,883961856.0
2022-12-29 15:41:52,6517338112.0,4782325760.0,850075648.0,884637696.0
2022-12-29 15:41:53,6520475648.0,4783177728.0,850526208.0,886136832.0
2022-12-29 15:41:54,6523830272.0,4785393664.0,851558400.0,886951936.0
2022-12-29 15:41:55,6526136320.0,4785700864.0,852623360.0,889671680.0
2022-12-29 15:41:56,6523863040.0,4782891008.0,851832832.0,889094144.0
2022-12-29 15:41:57,6523817984.0,4782600192.0,851525632.0,889671680.0
2022-12-29 15:41:58,6516310016.0,4778405888.0,852062208.0,886304768.0
2022-12-29 15:41:59,6520094720.0,4780351488.0,851484672.0,887443456.0
2022-12-29 15:42:00,6512947200.0,4778352640.0,848171008.0,887242752.0
